分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,Siren Leader 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,NTPm Leader 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,一个 NTPm Follower 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的管理网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的存储网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的迁移网络出方向的数据包被拒绝,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
Reject,出方向数据包被拒绝（随机拒绝率，随机持续时间）,集群内 NTP Server 所在的节点的接入网络出方向的数据包被拒绝,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
